Snapshotted at 2024-06-03T21:33:56.261Z
Username,Address,Balance
BurtFromOhio,0x4cc744068c143c1a40fdb99f2a914ff158924456,50
Alcoholcorrupts,0xd6dab4691ee54fd06b3e834c90b78ff5cb633ee8,18
BossKent9ra,0xde023edbeb3580b52ba428959a5e39e202cde19b,6
artkollector,0xa436fd534ff46bf68af730860550c1d9c73a18f6,6
JackBeatnic,0x41c1779c91ded7276d45dc486ed7af7abeba151e,2
TheBot,0xdc704ba35464e26289cc766da437025c58c72eca,1
0xRacerAlt,0xfd7232e66a69e1ae01e1e0ea8fab4776e2d325a9,1
ciniz,0xbffe58602025d37aa24e07215fa4469edc21234a,1
apathebot,0x506c997d2bfede7857955223f558d2e34d0a16a8,1
flub,0x0a37ca34977e78b947056f64dc59c085c020019c,1
T1186,0x299d7c800c746a7d55ccbf9d7dcdfad59cf0d3d5,1
